"order_id","item_id","customer_id","discount","order_date","rk"
599,2,1,0.2,"2016-12-09",1
599,1,1,0.05,"2016-12-09",1
599,4,1,0.1,"2016-12-09",1
599,3,1,0.07,"2016-12-09",1
1555,5,1,0.2,"2018-04-18",2
1555,4,1,0.05,"2018-04-18",2
1555,3,1,0.1,"2018-04-18",2
1555,2,1,0.1,"2018-04-18",2
1555,1,1,0.1,"2018-04-18",2
1613,2,1,0.05,"2018-11-18",3
1613,1,1,0.07,"2018-11-18",3
692,4,2,0.1,"2017-02-05",1
692,1,2,0.2,"2017-02-05",1
692,2,2,0.07,"2017-02-05",1
692,3,2,0.07,"2017-02-05",1
1084,5,2,0.1,"2017-08-21",2
1084,4,2,0.07,"2017-08-21",2
1084,3,2,0.2,"2017-08-21",2
1084,2,2,0.05,"2017-08-21",2
1084,1,2,0.05,"2017-08-21",2
1509,1,2,0.07,"2018-04-09",3
1468,3,3,0.07,"2018-03-27",1
1468,1,3,0.05,"2018-03-27",1
1468,2,3,0.07,"2018-03-27",1
1496,4,3,0.05,"2018-04-06",2
1496,3,3,0.05,"2018-04-06",2
1496,5,3,0.2,"2018-04-06",2
1496,2,3,0.07,"2018-04-06",2
1496,1,3,0.07,"2018-04-06",2
1612,2,3,0.05,"2018-10-21",3
1612,3,3,0.2,"2018-10-21",3
1612,4,3,0.07,"2018-10-21",3
1612,5,3,0.1,"2018-10-21",3
1612,1,3,0.1,"2018-10-21",3
700,2,4,0.2,"2017-02-07",1
700,1,4,0.05,"2017-02-07",1
1259,2,4,0.2,"2017-11-21",2
1259,1,4,0.1,"2017-11-21",2
1556,5,4,0.1,"2018-04-18",3
1556,1,4,0.2,"2018-04-18",3
1556,2,4,0.07,"2018-04-18",3
1556,3,4,0.1,"2018-04-18",3
1556,4,4,0.05,"2018-04-18",3
264,4,5,0.07,"2016-06-10",1
264,3,5,0.1,"2016-06-10",1
264,2,5,0.05,"2016-06-10",1
264,1,5,0.2,"2016-06-10",1
571,2,5,0.1,"2016-11-24",2
571,1,5,0.05,"2016-11-24",2
1544,1,5,0.1,"2018-04-17",3
1544,2,5,0.2,"2018-04-17",3
1059,1,6,0.05,"2017-08-14",1
1059,2,6,0.1,"2017-08-14",1
1059,3,6,0.07,"2017-08-14",1
1592,1,6,0.05,"2018-04-27",2
1592,2,6,0.07,"2018-04-27",2
1592,3,6,0.07,"2018-04-27",2
1592,4,6,0.2,"2018-04-27",2
1592,5,6,0.05,"2018-04-27",2
1611,1,6,0.07,"2018-09-06",3
1611,2,6,0.1,"2018-09-06",3
1611,3,6,0.2,"2018-09-06",3
104,1,7,0.1,"2016-03-03",1
104,2,7,0.05,"2016-03-03",1
1532,1,7,0.07,"2018-04-13",2
1604,1,7,0.1,"2018-06-17",3
512,1,8,0.07,"2016-10-19",1
1010,1,8,0.1,"2017-07-18",2
1523,1,8,0.2,"2018-04-12",3
76,3,9,0.07,"2016-02-16",1
76,2,9,0.1,"2016-02-16",1
76,1,9,0.05,"2016-02-16",1
1459,1,9,0.1,"2018-03-21",2
1593,3,9,0.1,"2018-04-27",3
1593,1,9,0.2,"2018-04-27",3
1593,2,9,0.07,"2018-04-27",3
1593,5,9,0.07,"2018-04-27",3
1593,4,9,0.05,"2018-04-27",3
825,2,10,0.2,"2017-04-07",1
825,1,10,0.1,"2017-04-07",1
1541,5,10,0.05,"2018-04-16",2
1541,4,10,0.1,"2018-04-16",2
1541,3,10,0.1,"2018-04-16",2
1541,2,10,0.07,"2018-04-16",2
1541,1,10,0.1,"2018-04-16",2
1609,1,10,0.2,"2018-08-23",3
1609,2,10,0.2,"2018-08-23",3
1609,3,10,0.1,"2018-08-23",3
1609,4,10,0.2,"2018-08-23",3
1074,1,11,0.1,"2017-08-19",1
1074,3,11,0.1,"2017-08-19",1
1074,2,11,0.07,"2017-08-19",1
1387,1,11,0.1,"2018-02-09",2
1588,1,11,0.07,"2018-04-26",3
108,1,12,0.1,"2016-03-06",1
108,3,12,0.05,"2016-03-06",1
108,2,12,0.07,"2016-03-06",1
715,2,12,0.2,"2017-02-15",2
715,1,12,0.1,"2017-02-15",2
1576,1,12,0.05,"2018-04-23",3
1576,2,12,0.05,"2018-04-23",3
1576,3,12,0.05,"2018-04-23",3
239,4,13,0.07,"2016-05-27",1
239,3,13,0.07,"2016-05-27",1
239,2,13,0.05,"2016-05-27",1
239,1,13,0.1,"2016-05-27",1
852,1,13,0.07,"2017-04-21",2
1527,2,13,0.05,"2018-04-12",3
1527,3,13,0.05,"2018-04-12",3
1527,1,13,0.1,"2018-04-12",3
357,4,14,0.05,"2016-08-05",1
