"customer_id","order_id","item_id","quantity","list_price","discount","order_date","rk"
1,599,1,2,2999.99,0.05,"2016-12-09",1
1,599,2,2,269.99,0.2,"2016-12-09",1
1,599,3,1,299.99,0.07,"2016-12-09",1
1,599,4,2,1549.0,0.1,"2016-12-09",1
1,1555,1,2,549.99,0.1,"2018-04-18",2
1,1555,5,1,3199.99,0.2,"2018-04-18",2
1,1555,4,2,1899.0,0.05,"2018-04-18",2
1,1555,3,1,469.99,0.1,"2018-04-18",2
1,1555,2,1,6499.99,0.1,"2018-04-18",2
1,1613,2,2,319.99,0.05,"2018-11-18",3
1,1613,1,1,4999.99,0.07,"2018-11-18",3
2,692,4,2,5499.99,0.1,"2017-02-05",1
2,692,3,2,529.99,0.07,"2017-02-05",1
2,692,2,1,599.99,0.07,"2017-02-05",1
2,692,1,1,2599.99,0.2,"2017-02-05",1
2,1084,5,1,1559.99,0.1,"2017-08-21",2
2,1084,4,2,346.99,0.07,"2017-08-21",2
2,1084,3,2,489.99,0.2,"2017-08-21",2
2,1084,2,1,659.99,0.05,"2017-08-21",2
2,1084,1,1,999.99,0.05,"2017-08-21",2
2,1509,1,2,749.99,0.07,"2018-04-09",3
3,1468,3,2,5999.99,0.07,"2018-03-27",1
3,1468,2,1,4999.99,0.07,"2018-03-27",1
3,1468,1,1,199.99,0.05,"2018-03-27",1
3,1496,2,1,899.99,0.07,"2018-04-06",2
3,1496,3,2,479.99,0.05,"2018-04-06",2
3,1496,4,1,449.99,0.05,"2018-04-06",2
3,1496,5,2,959.99,0.2,"2018-04-06",2
3,1496,1,1,599.99,0.07,"2018-04-06",2
3,1612,5,1,1559.99,0.1,"2018-10-21",3
3,1612,4,2,319.99,0.07,"2018-10-21",3
3,1612,3,2,339.99,0.2,"2018-10-21",3
3,1612,2,2,319.99,0.05,"2018-10-21",3
3,1612,1,1,699.99,0.1,"2018-10-21",3
4,700,1,2,3999.99,0.05,"2017-02-07",1
4,700,2,1,3499.99,0.2,"2017-02-07",1
4,1259,2,1,449.0,0.2,"2017-11-21",2
4,1259,1,1,1559.99,0.1,"2017-11-21",2
4,1556,3,1,289.99,0.1,"2018-04-18",3
4,1556,1,2,3499.99,0.2,"2018-04-18",3
4,1556,2,1,659.99,0.07,"2018-04-18",3
4,1556,4,2,469.99,0.05,"2018-04-18",3
